(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-2909-MONOMER	hypothetical protein	G1G01-2909	CCI-CYTOSOL-GN
G1G01-4971-MONOMER	methyl-accepting chemotaxis protein	G1G01-4971	CCI-PM-BAC-NEG-GN
G1G01-1656-MONOMER	terminase small subunit	G1G01-1656	
G1G01-5319-MONOMER	acyl-CoA thioesterase	G1G01-5319	CCI-CYTOSOL-GN
G1G01-3246-MONOMER	tail fiber protein	G1G01-3246	
G1G01-3583-MONOMER	arylsulfatase	G1G01-3583	
G1G01-5660-MONOMER	aminoacrylate/iminopropionate hydrolase/deaminase	G1G01-5660	CCI-CYTOSOL-GN
G1G01-3919-MONOMER	putative Helicase	G1G01-3919	CCI-CYTOSOL-GN
G1G01-8-MONOMER	ribonuclease P protein component	G1G01-8	
G1G01-2206-MONOMER	multidrug MFS transporter membrane fusion protein	G1G01-2206	CCI-PM-BAC-NEG-GN
G1G01-426-MONOMER	30S ribosomal protein S21	G1G01-426	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-4602-MONOMER	heme exporter protein D	G1G01-4602	CCI-PM-BAC-NEG-GN
G1G01-1300-MONOMER	crossover junction endodeoxyribonuclease RuvC	G1G01-1300	CCI-CYTOSOL-GN
G1G01-2553-MONOMER	LysR family transcriptional regulator	G1G01-2553	CCI-CYTOSOL-GN
G1G01-2895-MONOMER	sensor histidine kinase	G1G01-2895	CCI-PM-BAC-NEG-GN
G1G01-4957-MONOMER	DNA repair enzyme	G1G01-4957	
G1G01-1641-MONOMER	hypothetical protein	G1G01-1641	CCI-CYTOSOL-GN
G1G01-5304-MONOMER	fructose-bisphosphate aldolase	G1G01-5304	CCI-CYTOSOL-GN
G1G01-3231-MONOMER	hypothetical protein	G1G01-3231	
G1G01-3569-MONOMER	hypothetical protein	G1G01-3569	CCI-PM-BAC-NEG-GN
G1G01-5646-MONOMER	acetylglutamate kinase	G1G01-5646	CCI-CYTOSOL-GN
G1G01-784-MONOMER	hypothetical protein	G1G01-784	
G1G01-3905-MONOMER	creatinase	G1G01-3905	CCI-CYTOSOL-GN
G1G01-2192-MONOMER	DNA-binding transcriptional regulator	G1G01-2192	CCI-CYTOSOL-GN
G1G01-4243-MONOMER	hypothetical protein	G1G01-4243	
G1G01-1283-MONOMER	hypothetical protein	G1G01-1283	
G1G01-2539-MONOMER	esterified fatty acid <i>cis</i>/<i>trans</i> isomerase	G1G01-2539	
G1G01-2880-MONOMER	hypothetical protein	G1G01-2880	CCI-CYTOSOL-GN
G1G01-4942-MONOMER	MerR family transcriptional regulator	G1G01-4942	CCI-CYTOSOL-GN
G1G01-1626-MONOMER	putative Methyltransferase	G1G01-1626	CCI-CYTOSOL-GN
G1G01-5290-MONOMER	proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	G1G01-5290	CCI-CYTOSOL-GN
G1G01-3217-MONOMER	transcriptional regulator PrtN	G1G01-3217	CCI-CYTOSOL-GN
G1G01-3552-MONOMER	porphobilinogen synthase	G1G01-3552	CCI-CYTOSOL-GN
G1G01-3805-MONOMER	hypothetical protein	G1G01-3805	
G1G01-5631-MONOMER	oxidoreductase	G1G01-5631	CCI-CYTOSOL-GN
G1G01-769-MONOMER	ribosomal-protein-S18-alanine N-acetyltransferase	G1G01-769	CCI-CYTOSOL-GN
G1G01-3891-MONOMER	LysE family transporter	G1G01-3891	CCI-PM-BAC-NEG-GN
G1G01-2178-MONOMER	hypothetical protein	G1G01-2178	CCI-OUTER-MEM-GN
G1G01-4228-MONOMER	hypothetical protein	G1G01-4228	
G1G01-1269-MONOMER	sensor protein	G1G01-1269	CCI-PM-BAC-NEG-GN
G1G01-2524-MONOMER	chaperone protein	G1G01-2524	CCI-PERI-BAC-GN
G1G01-4577-MONOMER	hydroxypyruvate reductase	G1G01-4577	CCI-CYTOSOL-GN
G1G01-2866-MONOMER	hypothetical protein	G1G01-2866	
G1G01-4927-MONOMER	hypothetical protein	G1G01-4927	
G1G01-1611-MONOMER	glycerol-3-phosphate acyltransferase	G1G01-1611	CCI-PM-BAC-NEG-GN
G1G01-3201-MONOMER	O6-methylguanine-DNA methyltransferase	G1G01-3201	CCI-CYTOSOL-GN
G1G01-5279-MONOMER	O-antigen polymerase	G1G01-5279	CCI-PM-BAC-NEG-GN
G1G01-3538-MONOMER	aromatic aldehyde dehydrogenase 2Fe-2S subunit	G1G01-3538	CCI-CYTOSOL-GN
G1G01-5617-MONOMER	2-oxoadipate dioxygenase/decarboxylase	G1G01-5617	CCI-CYTOSOL-GN
G1G01-754-MONOMER	inner membrane protein	G1G01-754	CCI-PM-BAC-NEG-GN
G1G01-3877-MONOMER	alkylhydroperoxidase AhpD domain-containing protein	G1G01-3877	
G1G01-2163-MONOMER	hypothetical protein	G1G01-2163	CCO-MEMBRANE
G1G01-4212-MONOMER	nicotinate dehydrogenase subunit A	G1G01-4212	CCI-CYTOSOL-GN
G1G01-1253-MONOMER	gluconolactonase	G1G01-1253	
G1G01-2509-MONOMER	two-component system response regulator	G1G01-2509	CCI-CYTOSOL-GN
G1G01-4562-MONOMER	transporter	G1G01-4562	CCI-PM-BAC-NEG-GN
G1G01-2851-MONOMER	ABC transporter substrate-binding protein	G1G01-2851	
G1G01-4912-MONOMER	DMT superfamily permease	G1G01-4912	CCI-PM-BAC-NEG-GN
G1G01-1598-MONOMER	endopeptidase	G1G01-1598	
G1G01-3188-MONOMER	inner membrane protein	G1G01-3188	CCI-PM-BAC-NEG-GN
G1G01-5263-MONOMER	NCS1 family transporter	G1G01-5263	CCI-PM-BAC-NEG-GN
G1G01-3523-MONOMER	membrane protein	G1G01-3523	CCI-PM-BAC-NEG-GN
G1G01-5601-MONOMER	AraC family transcriptional regulator	G1G01-5601	CCI-CYTOSOL-GN
G1G01-3862-MONOMER	hypothetical protein	G1G01-3862	
G1G01-2148-MONOMER	membrane protein	G1G01-2148	CCI-PM-BAC-NEG-GN
G1G01-741-MONOMER	ferric siderophore receptor	G1G01-741	CCI-OUTER-MEM-GN
G1G01-4199-MONOMER	diguanylate cyclase	G1G01-4199	CCI-PM-BAC-NEG-GN
G1G01-1235-MONOMER	YaiC/YhcK/ArdA family protein	G1G01-1235	CCI-PM-BAC-NEG-GN
G1G01-2495-MONOMER	2-methylisocitrate lyase	G1G01-2495	CCI-CYTOSOL-GN
G1G01-3825-MONOMER	Bcr/CflA family multidrug resistance transporter	G1G01-3825	CCI-PM-BAC-NEG-GN
G1G01-4546-MONOMER	hypothetical protein	G1G01-4546	CCO-MEMBRANE
G1G01-2837-MONOMER	phosphate ABC transporter substrate-binding protein	G1G01-2837	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-2492-MONOMER	membrane protein	G1G01-2492	CCI-PM-BAC-NEG-GN
G1G01-4542-MONOMER	DNA polymerase III subunit gamma	G1G01-4542	CCI-CYTOSOL-GN
G1G01-2834-MONOMER	membrane protein	G1G01-2834	CCO-MEMBRANE
G1G01-4895-MONOMER	hypothetical protein	G1G01-4895	CCI-CYTOSOL-GN
G1G01-1580-MONOMER	CheW domain-containing protein	G1G01-1580	CCI-CYTOSOL-GN
G1G01-3170-MONOMER	oxidoreductase	G1G01-3170	CCI-CYTOSOL-GN
G1G01-5246-MONOMER	flagellar motor rotation protein	G1G01-5246	CCI-PM-BAC-NEG-GN
G1G01-3506-MONOMER	ring 1,2-phenylacetyl-CoA epoxidase regulatory subunit	G1G01-3506	
G1G01-5584-MONOMER	ammonium transporter AmtB	G1G01-5584	CCI-PM-BAC-NEG-GN
G1G01-3845-MONOMER	membrane protein	G1G01-3845	CCI-PM-BAC-NEG-GN
G1G01-2127-MONOMER	bifunctional folypolyglutamate synthase/dihydrofolate synthase	G1G01-2127	CCI-CYTOSOL-GN
G1G01-724-MONOMER	hypothetical protein	G1G01-724	
G1G01-4180-MONOMER	hypothetical protein	G1G01-4180	
G1G01-1216-MONOMER	ABC transporter ATP-binding protein	G1G01-1216	CCI-CYTOSOL-GN
G1G01-3875-MONOMER	sulfonate ABC transporter ATP-binding protein	G1G01-3875	CCI-PM-BAC-NEG-GN
G1G01-2477-MONOMER	ABC transporter permease	G1G01-2477	CCI-PM-BAC-NEG-GN
G1G01-4528-MONOMER	cbb3-2 cytochrome c oxidase subunit N	G1G01-4528	CCI-PM-BAC-NEG-GN
G1G01-282-MONOMER	ADP compounds hydrolase NudE	G1G01-282	CCI-CYTOSOL-GN
G1G01-4880-MONOMER	hypothetical protein	G1G01-4880	CCI-CYTOSOL-GN
G1G01-1566-MONOMER	hypothetical protein	G1G01-1566	
G1G01-3155-MONOMER	transposase	G1G01-3155	
G1G01-5231-MONOMER	adenylosuccinate synthetase	G1G01-5231	CCI-CYTOSOL-GN
G1G01-3492-MONOMER	phosphohydrolase	G1G01-3492	CCI-CYTOSOL-GN
G1G01-5569-MONOMER	membrane protein	G1G01-5569	CCI-PM-BAC-NEG-GN
G1G01-3830-MONOMER	amino acid ABC transporter substrate-binding protein	G1G01-3830	CCI-PERI-BAC-GN
G1G01-2112-MONOMER	tRNA-dihydrouridine synthase DusC	G1G01-2112	CCI-CYTOSOL-GN
G1G01-708-MONOMER	hypothetical protein	G1G01-708	
G1G01-4166-MONOMER	hypothetical protein	G1G01-4166	CCI-PM-BAC-NEG-GN
G1G01-2462-MONOMER	ATP-dependent Clp protease ATP-binding subunit ClpX	G1G01-2462	CCI-CYTOSOL-GN
G1G01-4513-MONOMER	membrane protein	G1G01-4513	CCO-MEMBRANE
G1G01-2804-MONOMER	hypothetical protein	G1G01-2804	CCI-CYTOSOL-GN
G1G01-1204-MONOMER	hydrolase	G1G01-1204	CCI-PERI-BAC-GN
G1G01-4865-MONOMER	hypothetical protein	G1G01-4865	
G1G01-1551-MONOMER	CBS domain-containing protein	G1G01-1551	CCI-PM-BAC-NEG-GN
G1G01-3857-MONOMER	hypothetical protein	G1G01-3857	CCI-PM-BAC-NEG-GN
G1G01-3139-MONOMER	glutaredoxin	G1G01-3139	CCI-CYTOSOL-GN
G1G01-5212-MONOMER	hypothetical protein	G1G01-5212	CCI-CYTOSOL-GN
G1G01-2142-MONOMER	2,4-dienoyl-CoA reductase	G1G01-2142	CCI-CYTOSOL-GN
G1G01-3478-MONOMER	HemK family modification methylase	G1G01-3478	CCI-CYTOSOL-GN
G1G01-5553-MONOMER	hypothetical protein	G1G01-5553	
G1G01-736-MONOMER	homoserine dehydrogenase	G1G01-736	CCI-CYTOSOL-GN
G1G01-3816-MONOMER	membrane protein	G1G01-3816	CCI-PM-BAC-NEG-GN
G1G01-2091-MONOMER	tRNA D-aminoacylase	G1G01-2091	CCI-CYTOSOL-GN
G1G01-4193-MONOMER	type 12 methyltransferase	G1G01-4193	CCI-CYTOSOL-GN
G1G01-693-MONOMER	DNA gyrase inhibitor YacG	G1G01-693	
G1G01-4151-MONOMER	putative Phage integrase	G1G01-4151	CCI-CYTOSOL-GN
G1G01-1229-MONOMER	membrane protein	G1G01-1229	CCI-PM-BAC-NEG-GN
G1G01-2447-MONOMER	hypothetical protein	G1G01-2447	CCO-MEMBRANE
G1G01-45-MONOMER	cobalt-zinc-cadmium resistance protein	G1G01-45	CCI-PM-BAC-NEG-GN
G1G01-249-MONOMER	cystine-binding protein	G1G01-249	CCI-PERI-BAC-GN // CCO-MEMBRANE
G1G01-2790-MONOMER	shikimate dehydrogenase family protein	G1G01-2790	CCI-CYTOSOL-GN
G1G01-1190-MONOMER	hypothetical protein	G1G01-1190	CCO-MEMBRANE
G1G01-454-MONOMER	anthranilate synthase catalytic component	G1G01-454	CCI-CYTOSOL-GN
G1G01-4850-MONOMER	ABC transporter ATP-binding protein/permease	G1G01-4850	CCI-PM-BAC-NEG-GN
G1G01-1537-MONOMER	carbohydrate-selective porin	G1G01-1537	CCI-OUTER-MEM-GN
G1G01-2831-MONOMER	MFS transporter	G1G01-2831	CCI-PM-BAC-NEG-GN
G1G01-3124-MONOMER	sensor histidine kinase	G1G01-3124	CCI-PM-BAC-NEG-GN
G1G01-5199-MONOMER	TetR family transcriptional regulator	G1G01-5199	CCI-CYTOSOL-GN
G1G01-4892-MONOMER	endonuclease	G1G01-4892	
G1G01-3463-MONOMER	hypothetical protein	G1G01-3463	
G1G01-1885-MONOMER	dTDP-4-dehydrorhamnose 3,5-epimerase	G1G01-1885	
G1G01-1578-MONOMER	hypothetical protein	G1G01-1578	CCI-PM-BAC-NEG-GN
G1G01-5538-MONOMER	glycine dehydrogenase	G1G01-5538	CCI-CYTOSOL-GN
G1G01-3801-MONOMER	AraC family transcriptional regulator	G1G01-3801	
G1G01-3168-MONOMER	hypothetical protein	G1G01-3168	CCI-CYTOSOL-GN
G1G01-2077-MONOMER	terpene alcohol monooxygenase	G1G01-2077	CCI-PM-BAC-NEG-GN
G1G01-674-MONOMER	branched-chain amino acid ABC transporter permease	G1G01-674	CCI-PM-BAC-NEG-GN
G1G01-5243-MONOMER	inner membrane protein	G1G01-5243	CCI-PM-BAC-NEG-GN
G1G01-4137-MONOMER	hypothetical protein	G1G01-4137	CCI-CYTOSOL-GN
G1G01-2432-MONOMER	hypothetical protein	G1G01-2432	
G1G01-3503-MONOMER	ring 1,2-phenylacetyl-CoA epoxidase reductase subunit	G1G01-3503	CCI-CYTOSOL-GN
G1G01-4485-MONOMER	ABC-type myristoylated ferribactin transporter fused ATPase and permease components	G1G01-4485	CCI-PM-BAC-NEG-GN
G1G01-2776-MONOMER	ferric anguibactin transport system permease FatD	G1G01-2776	CCI-PM-BAC-NEG-GN
G1G01-3895-MONOMER	p-nitrobenzoate reductase NfnB	G1G01-3895	
G1G01-1176-MONOMER	hypothetical protein	G1G01-1176	CCI-CYTOSOL-GN
G1G01-4833-MONOMER	hypothetical protein	G1G01-4833	CCI-CYTOSOL-GN
G1G01-3842-MONOMER	putative exported protein	G1G01-3842	
G1G01-1522-MONOMER	DegP-like serine endoprotease	G1G01-1522	CCI-PERI-BAC-GN
G1G01-311-MONOMER	hypothetical protein	G1G01-311	
G1G01-2124-MONOMER	tRNA pseudouridine (38-40)synthase	G1G01-2124	
G1G01-5184-MONOMER	ABC transporter ATP-binding protein	G1G01-5184	CCI-PM-BAC-NEG-GN
G1G01-3449-MONOMER	LysR family transcriptional regulator	G1G01-3449	CCI-CYTOSOL-GN
G1G01-720-MONOMER	GNAT family acetyltransferase	G1G01-720	
G1G01-187-MONOMER	TauD/TfdA family dioxygenase	G1G01-187	CCI-CYTOSOL-GN
G1G01-5522-MONOMER	spermidine/putrescine ABC transporter permease	G1G01-5522	CCI-PM-BAC-NEG-GN
G1G01-4178-MONOMER	hypothetical protein	G1G01-4178	
G1G01-3788-MONOMER	LuxR family transcriptional regulator	G1G01-3788	CCI-CYTOSOL-GN
G1G01-2062-MONOMER	methyl-accepting chemotaxis transducer	G1G01-2062	CCI-PM-BAC-NEG-GN
G1G01-1213-MONOMER	hypothetical protein	G1G01-1213	
G1G01-66-MONOMER	lipid A biosynthesis lauroyl acyltransferase	G1G01-66	CCI-PM-BAC-NEG-GN
G1G01-4122-MONOMER	FluMu protein gp47	G1G01-4122	
G1G01-2474-MONOMER	membrane protein	G1G01-2474	CCI-PM-BAC-NEG-GN
MONOMER1G01-4	phosphorylated response regulator PedS2	G1G01-2853	
G1G01-2418-MONOMER	single-stranded DNA-binding protein	G1G01-2418	
G1G01-4525-MONOMER	cbb3-1 cytochrome c oxidase subunit Q	G1G01-4525	CCI-PM-BAC-NEG-GN
G1G01-4470-MONOMER	electron transfer flavoprotein subunit alpha	G1G01-4470	
G1G01-2761-MONOMER	phosphoethanolamine transferase CptA	G1G01-2761	CCI-PM-BAC-NEG-GN
G1G01-2817-MONOMER	cellulose synthase membrane anchor subunit	G1G01-2817	CCI-PM-BAC-NEG-GN
G1G01-1160-MONOMER	OmpA family outer membrane protein	G1G01-1160	CCI-OUTER-MEM-GN
G1G01-4818-MONOMER	MarR family transcriptional regulator	G1G01-4818	CCI-CYTOSOL-GN
G1G01-4877-MONOMER	hypothetical protein	G1G01-4877	
G1G01-1508-MONOMER	tricarboxylate transport protein TctA	G1G01-1508	CCI-PM-BAC-NEG-GN
G1G01-3096-MONOMER	trehalose synthase A	G1G01-3096	CCI-CYTOSOL-GN
G1G01-1563-MONOMER	threonine synthase	G1G01-1563	CCI-CYTOSOL-GN
G1G01-517-MONOMER	30S ribosomal protein S5	G1G01-517	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-3433-MONOMER	ABC transporter ATP-binding protein	G1G01-3433	CCI-PM-BAC-NEG-GN
G1G01-3152-MONOMER	diacylglycerol kinase	G1G01-3152	CCI-PM-BAC-NEG-GN
G1G01-1854-MONOMER	DMT superfamily permease	G1G01-1854	CCI-PM-BAC-NEG-GN
G1G01-5508-MONOMER	acetyltransferase	G1G01-5508	CCI-CYTOSOL-GN
G1G01-5229-MONOMER	hypothetical protein	G1G01-5229	CCI-PM-BAC-NEG-GN
G1G01-3772-MONOMER	hypothetical protein	G1G01-3772	CCI-CYTOSOL-GN
G1G01-2048-MONOMER	hypothetical protein	G1G01-2048	
G1G01-349-MONOMER	glycine-betaine dioxygenase subunit	G1G01-349	CCI-CYTOSOL-GN
G1G01-640-MONOMER	hypothetical protein	G1G01-640	
G1G01-4108-MONOMER	hypothetical protein	G1G01-4108	
G1G01-5566-MONOMER	exopolyphosphatase	G1G01-5566	CCI-CYTOSOL-GN
G1G01-986-MONOMER	hypothetical protein	G1G01-986	CCI-CYTOSOL-GN
G1G01-2400-MONOMER	GntR family transcriptional regulator	G1G01-2400	CCI-CYTOSOL-GN
G1G01-3828-MONOMER		G1G01-3828	CCI-PM-BAC-NEG-GN
G1G01-4454-MONOMER	2-oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase	G1G01-4454	CCI-CYTOSOL-GN
G1G01-2745-MONOMER	hypothetical protein	G1G01-2745	
G1G01-211-MONOMER	transcriptional regulator AlgP	G1G01-211	CCI-CYTOSOL-GN
G1G01-1146-MONOMER	aerobic glycerol-3-phosphate dehydrogenase	G1G01-1146	CCI-CYTOSOL-GN
G1G01-4802-MONOMER	maturation protein	G1G01-4802	CCI-CYTOSOL-GN
G1G01-705-MONOMER	hypothetical protein	G1G01-705	CCI-CYTOSOL-GN
G1G01-1493-MONOMER	beta-D-glucoside glucohydrolase	G1G01-1493	CCI-PERI-BAC-GN
G1G01-3081-MONOMER	UDP-2,3-diacylglucosamine hydrolase	G1G01-3081	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-4163-MONOMER	hicB family protein	G1G01-4163	
G1G01-5155-MONOMER	ribosomal protein L11 methyltransferase	G1G01-5155	CCI-CYTOSOL-GN
G1G01-3419-MONOMER	2Fe-2S ferredoxin	G1G01-3419	
G1G01-246-MONOMER	DszC family monooxygenase	G1G01-246	
G1G01-184-MONOMER	hypothetical protein	G1G01-184	
G1G01-5494-MONOMER	threonine deaminase	G1G01-5494	CCI-CYTOSOL-GN
G1G01-4510-MONOMER	McbB family microcin B17-like processing protein	G1G01-4510	
G1G01-3758-MONOMER	hypothetical protein	G1G01-3758	
G1G01-2033-MONOMER	hypothetical protein	G1G01-2033	CCI-CYTOSOL-GN
G1G01-2801-MONOMER	FHA domain-containing protein	G1G01-2801	
G1G01-626-MONOMER	lipoprotein	G1G01-626	
G1G01-4093-MONOMER	two-component system sensor histidine kinase	G1G01-4093	CCI-PM-BAC-NEG-GN
G1G01-1201-MONOMER	hypothetical protein	G1G01-1201	CCI-PM-BAC-NEG-GN
G1G01-971-MONOMER	carbon-nitrogen hydrolase family protein	G1G01-971	CCI-CYTOSOL-GN
G1G01-2387-MONOMER	MFS transporter	G1G01-2387	CCI-PM-BAC-NEG-GN
G1G01-4862-MONOMER	hypothetical protein	G1G01-4862	
G1G01-4439-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-4439	CCI-PM-BAC-NEG-GN
G1G01-2730-MONOMER	LysR family transcriptional regulator	G1G01-2730	CCI-CYTOSOL-GN
G1G01-1549-MONOMER	phosphoribosylglycinamide formyltransferase	G1G01-1549	CCI-PM-BAC-NEG-GN
G1G01-1131-MONOMER	hypothetical protein	G1G01-1131	CCO-MEMBRANE
G1G01-4786-MONOMER	histidine/lysine/arginine/ornithine ABC transporter permease	G1G01-4786	CCI-PM-BAC-NEG-GN
G1G01-3136-MONOMER	CorA family magnesium/cobalt transporter	G1G01-3136	CCI-PM-BAC-NEG-GN
G1G01-1479-MONOMER	oxaloacetate decarboxylase	G1G01-1479	CCI-CYTOSOL-GN
G1G01-3067-MONOMER	catalase-like peroxidase	G1G01-3067	CCI-PERI-BAC-GN
G1G01-521-MONOMER	50S ribosomal protein L36	G1G01-521	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-5140-MONOMER	D-alanyl-D-alanine carboxypeptidase	G1G01-5140	CCI-PM-BAC-NEG-GN
G1G01-3403-MONOMER	SCO1/SenC family protein	G1G01-3403	CCI-PM-BAC-NEG-GN
G1G01-3475-MONOMER	hypothetical protein	G1G01-3475	
G1G01-1825-MONOMER	2-aminoethylphosphonate ABC transporter permease	G1G01-1825	CCI-PM-BAC-NEG-GN
G1G01-5479-MONOMER	hypothetical protein	G1G01-5479	CCI-CYTOSOL-GN
G1G01-555-MONOMER	ABC transporter permease	G1G01-555	CCI-PM-BAC-NEG-GN
G1G01-3742-MONOMER	aerobic cobaltochelatase subunit CobN	G1G01-3742	CCI-CYTOSOL-GN
G1G01-2018-MONOMER	ribosomal large subunit pseudouridine synthase C	G1G01-2018	
G1G01-3813-MONOMER	FecR-like transmembrane sensor 17	G1G01-3813	CCI-PERI-BAC-GN
G1G01-611-MONOMER	thiol/disulfide interchange protein 1	G1G01-611	CCI-PM-BAC-NEG-GN
G1G01-4079-MONOMER	UTP-glucose-1-phosphate uridylyltransferase	G1G01-4079	CCI-CYTOSOL-GN
G1G01-2089-MONOMER	dGMP/dTMP/dhydroxyCMP kinase	G1G01-2089	
G1G01-957-MONOMER	dipeptide ABC transporter substrate-binding protein	G1G01-957	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-2368-MONOMER	K(+)/H(+) antiporter subunit D	G1G01-2368	CCI-PM-BAC-NEG-GN
G1G01-690-MONOMER	hypothetical protein	G1G01-690	CCI-CYTOSOL-GN
G1G01-4424-MONOMER	sensor protein	G1G01-4424	CCI-PM-BAC-NEG-GN
G1G01-2716-MONOMER	LysR family transcriptional regulator	G1G01-2716	CCI-CYTOSOL-GN
G1G01-4149-MONOMER	hypothetical protein	G1G01-4149	
G1G01-1117-MONOMER	lipoprotein UxpA	G1G01-1117	CCI-OUTER-MEM-GN
G1G01-4767-MONOMER	magnesium transporter	G1G01-4767	CCI-PM-BAC-NEG-GN
G1G01-2444-MONOMER	internal core protein	G1G01-2444	CCI-PM-BAC-NEG-GN
G1G01-1464-MONOMER	hypothetical protein	G1G01-1464	
G1G01-3052-MONOMER	hypothetical protein	G1G01-3052	
G1G01-4497-MONOMER	hypothetical protein	G1G01-4497	CCO-MEMBRANE
G1G01-5126-MONOMER	Co(2+)/Mg(2+)efflux heat shock protein	G1G01-5126	CCI-PM-BAC-NEG-GN
G1G01-339-MONOMER	hypothetical protein	G1G01-339	CCI-CYTOSOL-GN
G1G01-2788-MONOMER	hypothetical protein	G1G01-2788	
G1G01-1810-MONOMER	fumarylacetoacetate hydrolase family protein	G1G01-1810	CCI-CYTOSOL-GN
G1G01-5463-MONOMER	TetR family transcriptional regulator	G1G01-5463	CCI-CYTOSOL-GN
G1G01-1188-MONOMER	lipoprotein	G1G01-1188	
G1G01-3728-MONOMER	LysR family transcriptional regulator	G1G01-3728	CCI-CYTOSOL-GN
G1G01-2002-MONOMER	hypothetical protein	G1G01-2002	CCI-CYTOSOL-GN
G1G01-4848-MONOMER	alpha/beta family hydrolase	G1G01-4848	CCI-CYTOSOL-GN
G1G01-598-MONOMER	phenylacrylic acid decarboxylase PadA	G1G01-598	CCI-CYTOSOL-GN
G1G01-4064-MONOMER	isochorismatase family hydrolase	G1G01-4064	
G1G01-1534-MONOMER	hypothetical protein	G1G01-1534	
G1G01-942-MONOMER	heme outer membrane receptor	G1G01-942	CCI-OUTER-MEM-GN
G1G01-2353-MONOMER	leucine-rich repeat-containing protein	G1G01-2353	CCI-EXTRACELLULAR-GN
G1G01-3121-MONOMER	hypothetical protein	G1G01-3121	
G1G01-441-MONOMER	LPS-assembly protein LptD	G1G01-441	CCI-OUTER-MEM-GN
G1G01-270-MONOMER	alpha-L-glutamate ligase	G1G01-270	CCI-CYTOSOL-GN
G1G01-5196-MONOMER	Dps family ferritin	G1G01-5196	CCI-CYTOSOL-GN
G1G01-1102-MONOMER	membrane protein	G1G01-1102	CCI-PM-BAC-NEG-GN
G1G01-4750-MONOMER	MFS transporter	G1G01-4750	CCI-PM-BAC-NEG-GN
G1G01-3460-MONOMER	universal stress protein family protein	G1G01-3460	CCI-CYTOSOL-GN
G1G01-145-MONOMER	membrane protein	G1G01-145	CCI-PM-BAC-NEG-GN
G1G01-3037-MONOMER	hypothetical protein	G1G01-3037	
G1G01-1881-MONOMER	lipopolysaccharide ABC transporter ATP-binding protein	G1G01-1881	CCI-CYTOSOL-GN
G1G01-5110-MONOMER	divalent cation efflux transporter	G1G01-5110	CCI-PM-BAC-NEG-GN
G1G01-3375-MONOMER	universal stress protein family protein	G1G01-3375	CCI-CYTOSOL-GN
G1G01-5535-MONOMER	hypothetical protein	G1G01-5535	
G1G01-1792-MONOMER	sodium-solute symporter/two-component system sensor histidine kinase/response regulator	G1G01-1792	CCI-PM-BAC-NEG-GN
G1G01-5449-MONOMER	sulfur carrier protein ThiS	G1G01-5449	
G1G01-38-MONOMER	transcriptional regulator	G1G01-38	CCI-CYTOSOL-GN
G1G01-3713-MONOMER	secretion protein	G1G01-3713	CCI-OUTER-MEM-GN
G1G01-199-MONOMER	hypothetical protein	G1G01-199	
G1G01-2074-MONOMER	metallo-beta-lactamase family protein	G1G01-2074	CCI-CYTOSOL-GN
G1G01-583-MONOMER	histidine kinase	G1G01-583	CCI-PM-BAC-NEG-GN
G1G01-4047-MONOMER	protease/amidase	G1G01-4047	
G1G01-671-MONOMER	bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase	G1G01-671	CCI-CYTOSOL-GN
G1G01-928-MONOMER	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	G1G01-928	CCI-CYTOSOL-GN
G1G01-2338-MONOMER	hypothetical protein	G1G01-2338	
G1G01-4134-MONOMER	hypothetical protein	G1G01-4134	
G1G01-4396-MONOMER	NADH-quinone oxidoreductase subunit L	G1G01-4396	CCI-PM-BAC-NEG-GN
G1G01-2684-MONOMER	membrane protein	G1G01-2684	CCI-PM-BAC-NEG-GN
G1G01-243-MONOMER	methionine ABC transporter substrate-binding protein	G1G01-243	CCI-PM-BAC-NEG-GN
G1G01-1089-MONOMER	ABC transporter permease	G1G01-1089	CCI-PM-BAC-NEG-GN
G1G01-4734-MONOMER	hypothetical protein	G1G01-4734	
G1G01-4482-MONOMER	dipeptidase	G1G01-4482	CCO-MEMBRANE
G1G01-1434-MONOMER	glutamate N-acetyltransferase/amino acid acetyltransferase	G1G01-1434	CCI-CYTOSOL-GN
G1G01-3022-MONOMER	urease accessory protein	G1G01-3022	CCI-CYTOSOL-GN
G1G01-2773-MONOMER	ferric anguibactin-binding protein	G1G01-2773	
G1G01-5097-MONOMER	acetyltransferase	G1G01-5097	CCI-CYTOSOL-GN
G1G01-3360-MONOMER	WecB/TagA/CpsF family glycosyl transferase	G1G01-3360	CCO-MEMBRANE
G1G01-1173-MONOMER	cold shock protein CapB	G1G01-1173	CCI-CYTOSOL-GN
